Name,Type,Dues/Membership Duration,Registration Status,Facet 1,Facet 2,Facet 3
National Alzheimer's Buddies,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
New Life Volunteering Society Undergraduate,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
New Life Volunteering Society- Graduate,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Palestine Children's Relief Fund,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Project Sunshine,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
See the Silver Lining,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Sidewalk Support,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Student Advocacy Coalition,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Thaakat,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Women's Health Initiative,Community Service Student Organizations,1 Year,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Al Bayyan,Literature and Performance Arts Groups,Lifetime membership,Not Registered,Artistic Expression and Creativity,Community Building Through Arts,Public Speaking and Performance Skills
Downtown Voices,Literature and Performance Arts Groups,Lifetime membership,Not Registered,Artistic Expression and Creativity,Community Building Through Arts,Public Speaking and Performance Skills
Guitar Club at UIC,Literature and Performance Arts Groups,Lifetime membership,Not Registered,Artistic Expression and Creativity,Community Building Through Arts,Public Speaking and Performance Skills
Her Campus Magazine,Literature and Performance Arts Groups,Lifetime membership,Not Registered,Artistic Expression and Creativity,Community Building Through Arts,Public Speaking and Performance Skills
Kappa Kappa Psi,Literature and Performance Arts Groups,Lifetime membership,Not Registered,Artistic Expression and Creativity,Community Building Through Arts,Public Speaking and Performance Skills
Red Shoes Review,Literature and Performance Arts Groups,Lifetime membership,Not Registered,Artistic Expression and Creativity,Community Building Through Arts,Public Speaking and Performance Skills
Accounting Club,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Adoptee Student Union,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
American Association of Pharmaceutical Sciences Student Chapter at University of Illinois Chicago,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
American Association of Public Health Dentistry,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
American Association of Women Dentists,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
American Chemical Society Undergraduate Student Chapter at┬áUniversity of Illinois Chicago,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
American Institute of Aeronautics and Astronautics,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
American Institute of Chemical Engineers,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
American Marketing Association Collegiate Chapter,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
American Medical Women's Association- Medical Students,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
American Society of Civil Engineers,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Applied Health Science Student Council,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Arquitectos,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Asian American Business Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Association for Computing Machinery,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Association of Latino Professionals For America,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Biomedical Engineering Society,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Biomedical Imaging Group,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Bridges International at UIC,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Business Analytics Organization,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Chicago Engineering Design Team,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Chicago Hyperloop,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Christian Medical and Dental Association- Medical Students,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
ClubID Student Organization,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Coalition of Occupational Therapy Advocates for Diversity at UIC Chapter,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Collaborative Health Student Network,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Collegiate Entrepreneurs Organization,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Community of Doctoral Social Workers,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Construction Management Association of America Student Chapter at the University of Illinois at Chicago,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Delta Epsilon Mu- Psi Chapter,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Dental Student Research Group at UIC,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Engineering World Health,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Engineers for a Sustainable World,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Ethics in Medicine Student Organization,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
FCG Consulting,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Finance and Investment Group,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Flouriders,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Future Success Network,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Google Develop Student Clubs at UIC,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Graduate Marketing Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Health Information Management Student Organization,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Humanities in Medicine,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Illinois Asian American Civil Engineers,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Illinois Student Occupational Therapy Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Information Systems Audit and Control Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
International Medical Student Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
International Youth Neuroscience Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Interprofessional Quality and Safety Student Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Investment Banking Student Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
LATINE IN LAW Student Organization,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Latino Medical Student Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Latino Pre-Medical Student Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Latinx Organization for Growth in Computing and Academics,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Latinx Psychology Alliance,Pre-Professional Groups,Ends at Graduation,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Linux User Group,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Masters of Business Administration Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Medical Students for Women's Health,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Middle Eastern Pre-Health Society,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Minority Association of Pre-Medical Students,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Minority Students for the Advancement of Public Health,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Mujeres en Medicina,Pre-Professional Groups,1 Year,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
National Arab American Medical Association NextGen,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
National Association of Black Accountants,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
National Organization of Minority Architecture Students,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
National Society of Black Engineers,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Pan Asian Student Dental Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Pharmaceutical Sciences Graduate Student Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Phi Alpha Delta Pre-Law Fraternity,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Portfolio Management Team,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
"Pre-dental club
",Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Pre-Health Affiliated Students,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Pre-Health Mentor Network,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Pre-Health Practicum Society,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Pre-Health Society of Chicago,Pre-Professional Groups,Ends at Graduation,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Pre-Law Society,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Pre-Nursing Student Organization,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Pre-Occupational Therapy Club,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Pre-Optometry Club,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Pre-Pharmacy Club,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Pre-Physician Assistant Club,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Pride Alliance,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Process Student Organization,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Public Health Alliance,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Public Health Student Association of the School of Public Health at the University of Illinois at Chicago,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Quantitative Trading Club,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Radical Public Health,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Rehabilitation Sciences Club,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Society of Automotive Engineers,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Society of Future Physicians,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Society of Hispanic Professional Engineers,Pre-Professional Groups,1 Year,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Society of Women Engineers,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
South Asian Medical Students Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Structural Engineers Association of Illinois,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Student Association of Medical Artists,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Student Interest Group in Neurology,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Student National Medical Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Student Steel Bridge Club,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Student Surgical Society,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Teething Wisdom,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
United Women's Network,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Value Based Med at UIC,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Windy City Business Association,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Women in Computer Science,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Women in Finance,Pre-Professional Groups,Lifetime membership,Not Registered,Advocacy and Industry Impact,Mentorship and Networking,Technical and Academic Skill Enhancement
Ahmadiyya Muslim Student Association at Chicago,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Alpha Omega Chicago Ministry,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Asian Campus Fellowship,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Asian Christian Fellowship,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Black Muslim Student Collective,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Buddhist Group,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Campus Outreach,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Chi Alpha Campus Ministries,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Chinese Christian Fellowship,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Christians on Campus,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Cru Ministry at UIC,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Deeper Life Campus Fellowship,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Deeper Roots in Christ,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
DESIgn Movement,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Elohist Bible Study,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Every Nation Campus Ministry,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
First Love Ministry,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Hindu YUVA,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Korean Christian Club,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Levine Hillel Jewish Student Association,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Multi-Ethnic Inter Varsity Christian Fellowship,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Muslim Student Association,Religious Groups,Ends at Graduation,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Navigators,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Overflow Campus Ministry,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Redeemed Christian Church of God North America Campus Fellowship,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Sikh Student Association,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Team United,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
Uni-Vision in Christ Chinese Christian Fellowship,Religious Groups,Lifetime membership,Not Registered,Spiritual Development and Support,Interfaith Dialogue and Cultural Exchange,Community Building and Engagement
1 2 Boxing Club,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Archery Club at UIC,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Badminton Team,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
"CHANGING HEALTH, ATTITUDES, + ACTIONS TO RECREATE GIRLS",Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Club Tennis at UIC,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Competitive Gaming Club,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Cricket Club,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Equestrian Student Organization,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Fencing Club,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Gymnastics at UIC,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Marksmanship Club,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Men's Club Soccer,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Men's Club Volleyball,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Men's Lacrosse Club,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Men's Rugby,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Men's Ultimate Frisbee,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Powerlifting Club,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Primo Dance Crew,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Running Club,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Sabor Latino Dance Club,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Ski and Snowboard Club,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Social Gaming Club,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Softball Student Organization,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Table Tennis Club,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Taekwondo Club at UIC,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Tang Soo Do Student Organization,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Women's Lacrosse Club at the University of Illinois at Chicago,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Women's Rugby Club,Sport Clubs,Lifetime membership,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Women's Ultimate Frisbee,Sport Clubs,1 Year,Not Registered,Physical Fitness and Health,Leadership and Organizational Skills,Competitive and Recreational Engagement
Active Minds at UIC,Special Interest Groups,1 Year,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Air Force Reservce Officer Training Corps at UIC,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Anakbayan,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Anime & Manga Club,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Art Collective at UIC,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Association of Justice for Kashmir,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Autoimmune Action & Advocacy,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Biomedical Discovery Club,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
